Title: Title Card Required
Chemical formula: O2C6H10
Electronic energy [au]: -384.81576
Zero-point contribution [kJ/mol]: 395.0984034
Zero-point energy [au]: -384.66528
Contributions to the partition function:
  ELECTRONIC
    Multiplicity: 1
    Electronic energy: -384.8157635
  HINDERED_ROTOR_8_9_10_11_13
    Dihedral indexes: 3 2 12 8
    Top indexes: 8 9 10 11 13
    Rotational symmetry: 1
    Even potential: False
    This is a hindered rotor
    Maximum number of cosines in the fit: 14
    RMSD of the fit [kJ/mol]: 0.00
    Relative RMSD of the fit the fit [%]: 0.2
    Pearson R^2 of the fit [%]: 100.000
    Potential: Angle [deg]    Energy [kJ/mol]
               185.75            3.1
               189.39            3.3
               193.03            3.4
               196.66            3.4
               200.30            3.4
               203.94            3.3
               207.57            3.2
               211.21            3.0
               214.85            2.8
               218.48            2.7
               222.12            2.6
               225.75            2.5
               229.39            2.5
               233.03            2.5
               236.66            2.4
               240.30            2.4
               243.94            2.4
               247.57            2.3
               251.21            2.3
               254.85            2.2
               258.48            2.2
               262.12            2.1
               265.75            2.1
               269.39            2.0
               273.03            1.9
               276.66            1.9
               280.30            1.8
               283.94            1.7
               287.57            1.6
               291.21            1.5
               294.85            1.3
               298.48            1.2
               302.12            1.0
               305.75            0.9
               309.39            0.7
               313.03            0.6
               316.66            0.5
               320.30            0.4
               323.94            0.4
               327.57            0.4
               331.21            0.4
               334.85            0.5
               338.48            0.6
               342.12            0.7
               345.75            0.8
               349.39            0.8
               353.03            0.9
               356.66            1.0
                 0.30            1.0
                 3.94            1.1
                 7.57            1.1
                11.21            1.1
                14.85            1.0
                18.48            1.0
                22.12            0.9
                25.75            0.8
                29.39            0.7
                33.03            0.6
                36.66            0.5
                40.30            0.4
                43.94            0.3
                47.57            0.2
                51.21            0.1
                54.85            0.1
                58.48            0.0
                62.12            0.0
                65.75            0.0
                69.39            0.0
                73.03            0.0
                76.66            0.1
                80.30            0.2
                83.94            0.3
                87.57            0.4
                91.21            0.5
                94.85            0.6
                98.48            0.7
               102.12            0.9
               105.75            1.0
               109.39            1.1
               113.03            1.2
               116.66            1.3
               120.30            1.4
               123.94            1.5
               127.57            1.6
               131.21            1.7
               134.85            1.8
               138.48            1.9
               142.12            1.9
               145.75            2.0
               149.39            2.1
               153.03            2.2
               156.66            2.3
               160.30            2.4
               163.94            2.6
               167.57            2.7
               171.21            2.8
               174.85            2.9
               178.48            2.9
               182.12            3.0
               185.75            3.1
    Number of QM energy levels: 200
<_io.TextIOWrapper name='PIa_HR_2.csv' mode='w' encoding='UTF-8'>     Center [A]:     1.09    -0.12     1.13
    Axis [1]:    -0.98     0.14    -0.11
    Moment [amu*bohr**2]: 119.560867
    Reduced moment [amu*bohr**2]: 71.331020
    Cancel wavenumber [1/cm]: 20.5
    The cancelation wavenumber is derived from the torsional potential.
    Energy levels [kJ/mol]:
        0.12    0.36    0.54    0.58    0.79    0.83    0.97    1.05
        1.13    1.23    1.33    1.43    1.54    1.64    1.74    1.85
        1.94    2.04    2.13    2.22    2.31    2.39    2.47    2.54
        2.62    2.70    2.78    2.86    2.94    3.03    3.11    3.20
        3.27    3.39    3.43    3.58    3.59    3.79    3.79    4.01
        4.01    4.24    4.24    4.49    4.49    4.75    4.75    5.03
